rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
190,rochester,Rochester,rslurry,slurry,https://github.com/rslurry,ROC,US,270140,24806,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,yukina-cz-olomouc,Olomouc,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,OLO,CZ,269977,18724,7574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,yukina-pl-zielona-gora,Zielona Góra,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,IEG,PL,267818,12032,8466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,toledo-oh,Toledo,bean1322,bean1322,https://github.com/bean1322,TOL,US,264059,27347,2253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,yukina-pl-legnica,Legnica - LGOM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,LEG,PL,263776,11250,7836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,mfn-northwestar,Northwest Arkansas,crumpetime,muffintime,https://github.com/crumpetime,XNA,US,261959,38101,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,yukina-pl-radom,Radom,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,RDO,PL,260548,14312,10965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,yukina-pl-olsztyn,Olsztyn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,SZY,PL,260068,11057,7740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,yukina-cz-plzen,Plzeň,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,PLZ,CZ,246585,16996,7069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,OKC,US,235101,20963,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,yukina-cz-liberec-jablonec,Liberec - Jablonec nad Nisou,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,LBC,CZ,234505,17072,6508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,PVD,US,233115,13933,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
